Description,From (Problem),From (Variation),To (Problem),To (Variation),Reduction ID,Type,Calls,Time Complexity,Space Complexity,Model,Assumption/Hypothesis,Implications,Implied lower bound power,References,Link,Year,Preserves,Notes,,
,3SUM,3SUM',3SUM,3SUM,11,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,3SUM,3SUM',Geometric Base,GeomBase,12,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Base,GeomBase,3SUM,3SUM',13,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,3SUM,3SUM,Geometric Incidence Problems,3 Points on Line,14,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Incidence Problems,3 Points on Line,Geometric Incidence Problems,Point on 3 Lines,15,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Incidence Problems,Point on 3 Lines,Geometric Incidence Problems,3 Points on Line,16,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Base,GeomBase,Geometric Separator Problems,Separator1,17,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Base,GeomBase,Geometric Separator Problems,Separator2,18,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Base,GeomBase,Geometric Covering Problems,Strips Cover Box,19,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Covering Problems,Strips Cover Box,Geometric Covering Problems,Triangles Cover Triangle,20,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Covering Problems,Triangles Cover Triangle,Geometric Covering Problems,Hole in Union,21,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Covering Problems,Hole in Union,Geometric Covering Problems,Triangles Cover Triangle,22,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Covering Problems,Triangles Cover Triangle,Geometric Covering Problems,Triangle Measure,23,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Covering Problems,Strips Cover Box,Geometric Covering Problems,Point Covering,24,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Base,GeomBase,Geometric Visibility Problems,Visibility Between Segments,25,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Base,GeomBase,Geometric Visibility Problems,Visibility From Infinity,26,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Covering Problems,Triangles Cover Triangle,Geometric Visibility Problems,Visible Triangle,27,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Visibility Problems,Visible Triangle,Geometric Covering Problems,Triangles Cover Triangle,28,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Base,GeomBase,Motion Planning Problems,Planar Motion Planning,29,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,Geometric Covering Problems,Triangles Cover Triangle,Motion Planning Problems,3D Motion Planning,30,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Anka Gajentaan, Mark H Overmars,
On a class of O(n2) problems in computational geometry,
Computational Geometry,
Volume 5, Issue 3,
1995,
Pages 165-185",https://doi.org/10.1016/0925-7721(95)00022-2,1995,,,,
,3SUM,3SUM',Dihedral Rotation Queries,Static Dihedral Rotation Queries,31,,,,,real RAM,3SUM Hypothesis,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $N^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Michael Soss, Jeff Erickson, Mark Overmars, Preprocessing chains for fast dihedral rotations is hard or even impossible, Computational Geometry, Volume 26, Issue 3, 2003, Pages 235-246",https://doi.org/10.1016/S0925-7721(02)00156-6,2003,,,,
,3SUM,3SUM,Local Alignment,Local Alignment,32,,,,,word RAM,3SUM Hypothesis,"if: to-time $N^{2-\delta-\epsilon} for two strings of size $n$ and alphabet of size $n^{1-\delta}$ for some $\espilon > 0$,$\delta \in (0,1)$
then: from-time: $n^{2-\epsilon'}$ for some $\epsilon' > 0$",2,"Abboud, Amir, Virginia Vassilevska Williams, and Oren Weimann. ""Consequences of faster alignment of sequences."" In International Colloquium on Automata, Languages, and Programming, pp. 39-51. Springer, Berlin, Heidelberg, 2014.",https://link.springer.com/chapter/10.1007/978-3-662-43948-7_4,2014,,,,
,Boolean Satisfiability,CNF-SAT,Local Alignment,Local Alignment,33,,,,,,SETH,"if: to-time: $N^{2-\epsilon}$ for some $\epsilon > 0$ on two binary strings of length $N$
then: from-time: $2^{(n-\epsilon')}$ for some $\epsilon' > 0$",2,"Abboud, Amir, Virginia Vassilevska Williams, and Oren Weimann. ""Consequences of faster alignment of sequences."" In International Colloquium on Automata, Languages, and Programming, pp. 39-51. Springer, Berlin, Heidelberg, 2014.",https://link.springer.com/chapter/10.1007/978-3-662-43948-7_4,2014,,,,
,Boolean Satisfiability,CNF-SAT,Longest Common Subsequence,Longest Common Substring with don't cares,34,,,,,,SETH,"if: to-time: $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $2^{(n-\epsilon')}$ for some $\epsilon' > 0$",2,"Abboud, Amir, Virginia Vassilevska Williams, and Oren Weimann. ""Consequences of faster alignment of sequences."" In International Colloquium on Automata, Languages, and Programming, pp. 39-51. Springer, Berlin, Heidelberg, 2014.",https://link.springer.com/chapter/10.1007/978-3-662-43948-7_4,2014,,,,
,Boolean Satisfiability,CNF-SAT,Local Alignment,Multiple Local Alignment,35,,,,,,SETH,"if: to-time: $N^{k-\epsilon}$ for some $\epsilon > 0$ on $k$ binary strings of length $n$ with $k$-wise scoring
then: from-time: $2^{(n-\epsilon')}$ for some $\epsilon' > 0$",k,"Abboud, Amir, Virginia Vassilevska Williams, and Oren Weimann. ""Consequences of faster alignment of sequences."" In International Colloquium on Automata, Languages, and Programming, pp. 39-51. Springer, Berlin, Heidelberg, 2014.",https://link.springer.com/chapter/10.1007/978-3-662-43948-7_4,2014,,,,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",Graph Triangle Problems,Negative Triangle Detection,36,Subcubic equivalence,$O(n^2)$ calls to instances of size $O(n^{1/3})$,,,,APSP Hypothesis,"if: to-time: $n^{3-\epsilon}$ for some $\epsilon >0$
then: from-time: $n^{3-\epsilon'}$ for some $\epsilon' > 0$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.",https://dl.acm.org/doi/pdf/10.1145/3186893,2018,,,,
,CFG Problems,CFG Parsing,Matrix Product,BMM,37,Combinatorial,,,,,,"if: to-time: $O(n^{3-\epsilon})$ for some $\epsilon > 0$ where $n \times n$ matrix
then: from-time: $O(gn^{3-\epsilon})$ where $g$ is the size of the CFG",3,"L. G. Valiant. 1975. General context-free recognition in less than cubic time. J. Comput. Syst. Sci. 10 (1975), 308–315.",https://www.sciencedirect.com/science/article/pii/S0022000075800468,1975,,,,
,Matrix Product,BMM,CFG Problems,CFG Parsing,38,Combinatorial,,,,,,"if: to-time: $O(gn^{3-\epsilon})$ for some $\epsilon > 0$ where $g$ is the size of the CFG and $n$ is the size of the string
then: from-time: $O(n^{3-\epsilon/3})$ where $n \times n$ matrix",3,"L. Lee. 2002. Fast context-free grammar parsing requires fast boolean matrix multiplication. J. ACM 49, 1 (2002), 1–15.",https://arxiv.org/abs/cs/0112018,2002,,,,
,Graph Triangle Problems,Negative Triangle Detection,Matrix Product,Matrix Product Verification,39,Strongly subcubic,,,,,,"if: to-time: $T(n)$
then: from-time: $O(T(2n))$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 4.1",2018,,,,
Generic runtimes for two $n \times n$ matrices,Matrix Product,Matrix Product,Graph Triangle Problems,Negative Triangle Detection,40,Strongly subcubic,,,,,,"if: to-time: $T(n)$ where $T(n)/n$ is decreasing
then: from-time: $O(n^2 \cdot T(n^{1/3})\log W)$ for two $n\times n$ matrices where $W$ is the maxint of $R$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 4.2",2018,,,,
,Graph Triangle Problems,Negative Triangle Search,Graph Triangle Problems,Negative Triangle Detection,41,Strongly subcubic,,,,,,"if: to-time: $T(n)$ where $T(n)/n$ is decreasing
then: from-time: $O(T(n))$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Lemma 4.1",2018,,,,
,Graph Triangle Problems,Negative Triangle Listing,Graph Triangle Problems,Negative Triangle Detection,42,Strongly subcubic,,,,,,"if: to-time: $O(n^{3-\epsilon}\log^c M)$ for some $\epsilon > 0$ and where $M$ is the maxint of $R$
then: from-time: $O(n^{3-\epsilon'}\log^c M)$ for some $\epsilon' > 0$ for listing $\Delta = O(n^{3-\delta})$ negative triangles with fixed $\delta > 0$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 4.3",2018,,,,
"$n \times n$ matrices and triangle problem over $R$
Corollary to generic runtimes",Matrix Product,Matrix Product,Graph Triangle Problems,Negative Triangle Detection,43,Strongly subcubic,,,,,,"if: to-time: $O(n^3/\log^c n)$ for some constant $c$
then: from-time: $O((\log W) n^3 / \log^c n)$ where $W$ is maxint of $R$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Corollary 4.1",2018,,,,
Multiplying rectangular matrices,Matrix Product,Matrix Product,Graph Triangle Problems,Negative Triangle Detection,44,Strongly subcubic,,,,,,"if: to-time: $T(n)$
then: from-time: $O(mp\cdot T(n^{1/3}) \log W)$ s.t. $mp \leq n^3$ and $\sqrt{p} \leq m \leq p^2$ and multiplying two matrices of dimensions $m \times n$ and $n \times p$ over $R$ and $W$ is the maxint of $R$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 4.4",2018,,,,
,Maximum Subarray Problem,Maximum Subarray,Matrix Product,Distance Product,45,,,,,,,"if: to-time: $O(n^{3-\epsilon})$ for some $\epsilon > 0$
then: from-time: $O(n^{3-\epsilon})$",3,Hisao Tamaki and Takeshi Tokuyama. 1998. Algorithms for the maximum subarray problem based on matrix multiplication. In Proceedings of the 9th Annual ACM-SIAM Symposium on Discrete Algorithms (SODA’98). 446–452.,https://dl.acm.org/doi/abs/10.5555/314613.314823,1998,,,,
Generic runtime but with $T(n)$ s.t. $T(n)/n^2$ is decreasing,Matrix Product,Matrix Product,Graph Triangle Problems,Negative Triangle Detection,46,"Strongly polynomial, probabilistic",,,,,,"if: to-time: $T(n)$ where $T(n)/n^2$ is decreasing
then: from-time: $O(n^2 \cdot T(n^{1/3})\log n)$ for two $n\times n$ matrices with high probability",,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 4.5",2018,,,,
,Minimum Witness,Minimum Witness Finding,Graph Triangle Problems,Negative Triangle Detection,47,,,,,,,"if: to-time: $T(n)$ where $n$ is the number of nodes in the graph
then: from-time: $O(T(n))$",,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Lemma 4.4",2018,,,,
,Minimum Witness,All Pairs Minimum Witness (APMW),Graph Triangle Problems,Negative Triangle Detection,48,,,,,,,"if: to-time: $T(n)$
then: from-time: $O(T(n^{1/3})n^2)$",,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Lemma 4.5",2018,,,,
,All-Pairs Shortest Paths (APSP),"Undirected, Weighted APSP",All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",49,Subcubic equivalence,,,,,,"if: to-time: $T(n, M)$ where graph has weights in $[0, M]$
then: from-time: $T(n, \Theta(M))$ where digraph has weights in $[-M, M]$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 5.1",2018,,,,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",All-Pairs Shortest Paths (APSP),"Undirected, Weighted APSP",50,Subcubic equivalence,,,,,APSP Hypothesis,"if: to-time: $T(n, \Theta(M))$ where digraph has weights in $[-M, M]$
then: from-time: $T(n, M)$ where graph has weights in $[0, M]$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 5.1",2018,,,,
,Metricity,Metricity,Graph Triangle Problems,Negative Triangle Detection,51,Subcubic equivalence,,,,,,"if: to-time: $O(n^2) + T(O(n), O(M))$ where $T(n,M)$ is nondecreasing
then: from-time: $O(n^2) + T(O(n), O(M))$ where the metricity problem is on $[n]$ s.t. all distances are in $[-M, M]$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 5.2",2018,,,,
,Graph Triangle Problems,Negative Triangle Detection,Metricity,Metricity,52,Subcubic equivalence,,,,,,"if: to-time: $O(n^2) + T(O(n), O(M))$ where the metricity problem is on $[n]$ s.t. all distances are in $[-M, M]$, and $T(n,M)$ is nondecreasing
then: from-time: $O(n^2) + T(O(n), O(M))$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 5.2",2018,,,,
,Graph Triangle Problems,Negative Triangle Detection,Graph Cycles,Shortest Cycle,53,Subcubic equivalence,,,,,,"if: to-time: $T(n,M)$ where there are $n$ nodes and weights in $[1, M]$
then: from-time: $T(n, O(M))$ where there are $n$ nodes and weights in $[-M, M]$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 5.3",2018,,"The Theorem states this as a subcubic equivalence, but only proves one direction, stating the other direction ""is already known""",,
,Graph Triangle Problems,Negative Triangle Detection,Maximum Subarray Problem,Maximum Subarray,54,Subcubic equivalence,,$O(n^2)$,,,,,3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 5.4",2018,,,,
,Maximum Subarray Problem,Maximum Subarray,Graph Triangle Problems,Negative Triangle Detection,55,Subcubic equivalence,,,,,,,3,Hisao Tamaki and Takeshi Tokuyama. 1998. Algorithms for the maximum subarray problem based on matrix multiplication. In Proceedings of the 9th Annual ACM-SIAM Symposium on Discrete Algorithms (SODA’98). 446–452.,https://dl.acm.org/doi/abs/10.5555/314613.314823,1998,,Not really sure where in Tamaki's paper this is mentioned ,,
,Graph Triangle Problems,Minimum Triangle,"Shortest Path
(Directed graphs)",Second Shortest Simple Path,56,Subcubic equivalence,,,,,,"if: to-time: $T(n,W)$ where there are $n$ nodes and integer weights in $[0, W]$
then: from-time: $T(O(n), O(nW))$ for $n$ node graph with integer weights in $[-W, W]$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 5.5",2018,,,,
,Matrix Product,Distance Product,"Shortest Path
(Directed graphs)",Second Shortest Simple Path,57,Subcubic equivalence,,,,,,"if: to-time: $T(n,W)$ where there are $n$ nodes and integer weights in $[0, W]$
then: from-time: $O(n^2 T(O(n^{1/3}), O(nW)) \log W)$ for two $n\times n$ matrices with weights in $[-W, W]$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 5.5",2018,,,,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP","Shortest Path
(Directed graphs)",Second Shortest Simple Path,58,Subcubic equivalence,,,,,APSP Hypothesis,"if: to-time: $T(n,W)$ where there are $n$ nodes and integer weights in $[0, W]$
then: from-time: $O(n^2 T(O(n^{1/3}), O(n^2W)) \log Wn)$ for graphs with weights in $[-W, W]$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 5.5",2018,,,,
